,Depth,DHW,D1_ratio,Ec
sample1,4.2,5.76,0.003,177.47
sample2,4.2,5.76,0.682,202.373
sample3,4.2,5.76,0.461,211.613
sample4,4.2,5.76,0.001,197.39
sample5,4.2,5.76,0.849,213.406
sample6,0.8,5.75,0.35,221.764
sample7,0.8,5.75,0.819,275.461
sample8,0.8,5.75,0.873,138.842
sample9,0.8,5.75,0.642,209.144
sample10,0.8,5.75,0.884,234.467
sample11,3.1,9.92,0.27,289.33
sample12,3.1,9.92,0.651,283.877
sample13,3.1,9.92,0.81,251.802
sample14,3.1,9.92,0.802,323.756
sample15,12.2,10.28,0.851,151.815
sample16,12.2,10.28,0.844,293.787
sample17,12.2,10.28,0.876,109.857
sample18,19.9,9.92,0.464,150.994
sample19,19.9,9.92,0.459,331.33
sample20,0.7,10.71,0.811,391.456
sample21,0.7,10.71,0.765,406.216
sample22,0.7,10.71,0.686,359.954
sample23,3.7,10.71,0.786,359.064
sample24,3.7,10.71,0.996,400.18
sample25,8.7,10.77,0.729,203.699
sample26,8.7,10.77,0.982,362.858
sample27,8.7,10.77,0.978,345.716
sample28,8.7,10.77,0.448,556.366
sample29,0.7,10.71,0.278,388.614
sample30,1.5,12.04,0.912,212.811
sample31,1.5,12.04,0.857,226.123
sample32,1.5,12.04,0.865,207.443
sample33,1.5,12.04,0.853,346.172
sample34,6.7,12.01,0.349,350.474
sample35,6.7,12.01,0.069,289.464
sample36,6.7,12.01,0.749,369.819
sample37,11.3,12.04,0.834,278.942
sample38,11.3,12.04,0.835,482.691
sample39,11.3,12.04,0.837,205.792
sample40,11.3,12.04,0.853,240.95
sample41,1.5,12.04,0.855,174.063
sample42,6.7,12.01,0.665,373.722
sample43,6.7,12.01,0.64,348.472
sample44,2,9.72,0.902,279.19
sample45,2,9.72,0.727,459.884
sample46,2,9.72,0.902,393.962
sample47,2,9.72,0.889,356.139
sample48,8.3,0,0.944,567.625
sample49,8.7,0,0.889,326.539
sample50,5.5,0,0.966,631.195
sample51,5.5,0,0.984,700.648
sample52,5.5,0,0.971,596.805
sample53,8.5,0,1,694.982
sample54,8.5,0,0.771,413.147
sample55,8.5,0,0.571,423.086
sample56,0.6,0,0.959,576.142
sample57,0.6,0,0.975,544.669
sample58,0.6,0,0.929,568.1
sample59,5.2,0,0.97,411.6
sample60,5.2,0,0.057,412.369
sample61,5.2,0,0.996,556.664
sample62,9.2,0,0.021,376.44
sample63,4.6,0,0.811,504.325
sample64,4.6,0,0.148,268.615
sample65,4.6,0,0.856,459.754
sample66,1.5,0,0.999,555.066
sample67,1.5,0,0.882,582.832
sample68,1.5,0,0.005,674.509
sample69,5.8,0,0.987,525.43
sample70,5.8,0,0.987,574.788
sample71,3.1,0,0.004,409.833
sample72,7.6,0,0.999,443.659
sample73,7.6,0,0.201,701.795
sample74,7.6,0,0.995,493.582
sample75,6.2,0,0.982,435.328
sample76,6.2,0,0.804,570.808
sample77,6.2,0,0.898,584.912
sample78,1.5,0,0.961,633.753
sample79,1.5,0,0.998,425.252
sample80,3,0,0.948,597.636
sample81,3,0,0.685,453.067
sample82,3,0,0.867,734.348
sample83,1.6,0,0.91,297.274
sample84,3.8,0,0.273,421.521
sample85,3.8,0,0.999,559.424
sample86,3.8,0,1,723.363
sample87,6.7,0,0,421.699
sample88,6.7,0,0,336.329
sample89,8,0,0.949,447.151
