,Kingdom,Phylum,Class,Order,Family,Genus,Species
09e0465e930e42ef90109feb37c269cc,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
12ebd78731ac4301dc94f5948229f42a,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
23baea8280216959be88f33c4992ecbb,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
7d4899fb4f2a7bc9a3b9cf7ca4a3a4af,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
a9480cfa7785265324b7ad931ac2a05a,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
a96f596f8d9d374c92a1347dccbbb509,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
ca1852171dd2d6b3f4bcf58f09a150f5,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
cfac5af5fc691f368d466b29b1bec973,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Durusdinium,D1
c2b852a87678f7e7005d1ad5cca4ef53,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C91
8321891fef1cf4be843f31442a2b652b,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C90
fc37dc219cb3d9e9cac3bcae628c5c89,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C90
ff3bd3af27d0bec6a93b998ecf6a6454,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C71
0b529b8310007c96070c708023d9e092,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C42
7220787bab114862396cf8a7f2db38ed,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C42
8848146af910eeb84cd26b6f6aaa1e23,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C42
bbc0ea002f69e795a3a76db41b277787,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C42
ad0b3c32918fb4b0bcb5b46796ddb0a9,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C3
ae36302b9d826bf5869eceaf6a076988,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C3
c5d93288bc83d44e006831fda5879c0b,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C3
0274d34e03ea02c85eb644bd9bc6c3b1,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C27
d237c6d1082f5d2df7f92488b2be52e0,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C21
13981b0839357565daf42753ce148afd,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C15
86b27edf5ef86cb2170bfcc42a90571d,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C15
90e4e13a552b6d4b85ea9aa00935eeec,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C15
f637de43cb70466438773ef29b364070,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C15
07123c28b2ea8ffc8b7792b2da605f19,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
0b7d2cffc08005fedbdf9f2362faa6ca,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
3a56e7d7e85edb9e63300a5c24bdef49,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
57754a8f65ae7a90e286da6ea3662ad0,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
7cfcd0e8dbf29781b7f5917d06b60281,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
d369f9467f8fa14a63faf7f58f835df8,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C116
20781a27ad091acd680997b863d00863,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
3f1c15b8f09fb554af693ecf4f30e549,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
79bffd763cde0b2eebe0a53eb4859a20,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
8798467ba4dce056913d91fb1800de86,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
abb721543eb89c16ef8c5b8d5fd13ed7,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
c0aa54d8ff537837996172785f8edfa4,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
eb868ebcda2ae8d5d2f471f487367c02,k__Eukaryota,p__Dinoflagellata,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,C1
