Sample,DHW,Depth,D1_ratio,C1_ratio,Shannon
Pa_20au_HGJ_1,5.76,4.2,0.004,0.46,3.413812181
Pa_20au_HGJ_2,5.76,4.2,0.679,0.213,4.669349276
Pa_20au_HGJ_3,5.76,4.2,0.459,0.506,3.859879903
Pa_20au_HGJ_5,5.76,4.2,0.849,0.097,3.010280933
Pa_20au_HGJ_6,5.75,0.8,0.353,0.617,4.430824095
Pa_20au_HGJ_7,5.75,0.8,0.819,0.155,3.850331892
Pa_20au_HGJ_8,5.75,0.8,0.873,0.078,4.936469367
Pa_20au_HGJ_9,5.75,0.8,0.642,0.275,4.238124233
Pa_20au_HGJ_10,5.75,0.8,0.881,0.073,4.773969052
Pa_20au_JQD_1,9.92,3.1,0.269,0.721,3.304380639
Pa_20au_JQD_2,9.92,3.1,0.651,0.274,4.580201548
Pa_20au_JQD_3,9.92,3.1,0.807,0.121,4.413092121
Pa_20au_JQD_4,9.92,3.1,0.801,0.106,4.032274112
Pa_20au_JQD_5,10.28,12.2,0.853,0.079,4.837565147
Pa_20au_JQD_6,10.28,12.2,0.849,0.067,4.694618083
Pa_20au_JQD_7,10.28,12.2,0.877,0.051,4.920318644
Pa_20au_JQD_8,9.92,19.9,0.464,0.517,4.981577969
Pa_20au_JQD_9,9.92,19.9,0.461,0.437,4.655776648
Pa_20au_LYJ_1,10.71,0.7,0.811,0.125,4.573048194
Pa_20au_LYJ_2,10.71,0.7,0.76,0.203,5.197123002
Pa_20au_LYJ_3,10.71,0.7,0.686,0.264,4.762294145
Pa_20au_LYJ_4,10.71,3.7,0.784,0.208,3.915797407
Pa_20au_LYJ_5,10.71,3.7,0.997,0.002,4.42695206
Pa_20au_LYJ_6,10.77,8.7,0.724,0.198,5.292107524
Pa_20au_LYJ_7,10.77,8.7,0.981,0.015,5.054252155
Pa_20au_LYJ_8,10.77,8.7,0.977,0.017,4.552716065
Pa_20au_LYJ_9,10.77,8.7,0.447,0.51,2.107345928
Pa_20au_LYJ_10,10.71,0.7,0.279,0.687,3.803899227
Pa_20au_YY_1,12.04,1.5,0.911,0.023,4.07899274
Pa_20au_YY_2,12.04,1.5,0.855,0.07,4.340045045
Pa_20au_YY_3,12.04,1.5,0.867,0.063,3.823922526
Pa_20au_YY_4,12.04,1.5,0.853,0.065,4.47211446
Pa_20au_YY_5,12.01,6.7,0.351,0.632,4.613206758
Pa_20au_YY_6,12.01,6.7,0.068,0.13,4.782036912
Pa_20au_YY_7,12.01,6.7,0.749,0.204,4.588642552
Pa_20au_YY_8,12.04,11.3,0.835,0.16,2.525903781
Pa_20au_YY_9,12.04,11.3,0.837,0.159,3.94574404
Pa_20au_YY_10,12.04,11.3,0.836,0.16,1.840159363
Pa_20au_YY_11,12.04,11.3,0.85,0.146,2.964620252
Pa_20au_YY_12,12.04,1.5,0.855,0.079,4.705618504
Pa_20au_YY_13,12.01,6.7,0.664,0.285,4.945106024
Pa_20au_YY_14,12.01,6.7,0.641,0.301,3.607389118
Pa_20au_ZSD_1,9.72,2,0.898,0.038,5.114016755
Pa_20au_ZSD_2,9.72,2,0.73,0.197,5.193558023
Pa_20au_ZSD_3,9.72,2,0.905,0.029,4.721552123
Pa_20au_ZSD_4,9.72,2,0.887,0.049,5.015621985
Pa_21sp_BD_1,0,8.3,0.943,0,5.114446092
Pa_21sp_BD_2,0,8.7,0.888,0.089,4.509511992
Pa_21sp_BSZ_1,0,5.5,0.967,0.014,1.341909629
Pa_21sp_BSZ_2,0,5.5,0.984,0,1.689068814
Pa_21sp_BSZ_3,0,5.5,0.972,0,2.255034574
Pa_21sp_DD_1,0,8.5,1,0,3.02186894
Pa_21sp_DD_2,0,8.5,0.765,0.227,3.058710557
Pa_21sp_DD_3,0,8.5,0.57,0,2.769998455
Pa_21sp_JQD_1,0,0.6,0.959,0.035,2.843300371
Pa_21sp_JQD_2,0,0.6,0.976,0.023,1.466661687
Pa_21sp_JQD_3,0,0.6,0.929,0.029,1.601327685
Pa_21sp_JYD_1,0,5.2,0.97,0.029,3.540112798
Pa_21sp_JYD_2,0,5.2,0.059,0.912,2.303291265
Pa_21sp_JYD_3,0,5.2,0.996,0,2.04113613
Pa_21sp_LHJ_1,0,9.2,0.023,0.001,2.55610516
Pa_21sp_LYJ_1,0,4.6,0.809,0.187,2.746227531
Pa_21sp_LYJ_2,0,4.6,0.147,0.833,2.773099324
Pa_21sp_LYJ_3,0,4.6,0.857,0.085,2.441317297
Pa_21sp_NSZ_1,0,1.5,0.999,0.001,1.44002787
Pa_21sp_NSZ_2,0,1.5,0.883,0,1.431806696
Pa_21sp_NSZ_3,0,1.5,0.004,0.996,1.857107302
Pa_21sp_PSY_1,0,5.8,0.987,0.01,3.820087116
Pa_21sp_PSY_2,0,5.8,0.987,0.007,3.415238455
Pa_21sp_SHD_1,0,3.1,0.004,0.996,2.424906758
Pa_21sp_SY_1,0,7.6,0.999,0.001,3.06482192
Pa_21sp_SY_2,0,7.6,0.196,0.8,3.636457672
Pa_21sp_SY_3,0,7.6,0.995,0.005,2.812444823
Pa_21sp_XSZ_1,0,6.2,0.981,0,2.526723058
Pa_21sp_XSZ_2,0,6.2,0.802,0.15,4.841661093
Pa_21sp_XSZ_3,0,6.2,0.899,0.08,2.161872417
Pa_21sp_YGD_1,0,1.5,0.958,0.042,4.264741198
Pa_21sp_YGD_2,0,1.5,0.999,0,3.300636926
Pa_21sp_YXD_1,0,3,0.948,0.047,1.669316361
Pa_21sp_YXD_2,0,3,0.686,0,2.04495592
Pa_21sp_YXD_3,0,3,0.868,0.038,2.197295163
Pa_21sp_YY_1,0,1.6,0.912,0.008,2.540037004
Pa_21sp_YZJ_1,0,3.8,0.273,0.727,1.830480406
Pa_21sp_YZJ_2,0,3.8,0.999,0,3.900095242
Pa_21sp_YZJ_3,0,3.8,1,0,4.046358282
Pa_21sp_ZJD_1,0,6.7,0,0.944,3.206888663
Pa_21sp_ZJD_2,0,6.7,0,0.686,3.371000519
